,ctry_cd,dt_dtr,I_BP6_USD,GGXCNL_G01_GDP_PT,FSREPRR_PC_CP_A_PT,GNLB|_Z & `Sector Code`,GNOB|_Z & `Sector Code`,BK_DB_BP6_USD,AIP_IX,ENEER_IX,NX_XDC,FIMM_PA,NGDP_XDC,NM_XDC,LE_IX,ARS_IX,FPE_IX,IAFR_BP6_USD,ILFR_BP6_USD,PCPI_IX,RAF_USD
0,AFG,22-Jan-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ALB,22-Jan-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.621,0.0,16.155,20.909,0.0,0.0,0.0,0.0,0.0,6.0454461924290115,0.0
2,DZA,22-Jan-99,0.0,-6.506777680244101,0.0,0.0,0.0,0.0,6.234344558864493,-3.140070825414,-25.624,-23.095,1.809,7.432,0.0,0.0,0.0,0.0,0.0,2.6651127436727933,0.0
3,AGO,22-Jan-99,0.0,-6.4048634586667115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171783612171559,0.0
4,ATG,22-Jan-99,0.0,-1.75823799218408,0.0,0.0,0.0,0.0,0.0,-1.6801154657620003,0.0,0.0,6.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ARG,22-Jan-99,-15.932,0.010186995970520085,0.0,0.0,0.0,-59.121,0.0,0.0,0.0,0.0,0.0,0.0,3.9896788103941105,0.0,0.0,5.606,8.415,0.0,0.0
6,ARM,22-Jan-99,-65.341,0.0,0.0,0.0,0.0,0.0,0.0,4.696717427987501,11.337,-44.216,18.779,7.701,0.0,0.0,0.0,9.704,42.842,-0.8413879380981086,0.0
7,ABW,22-Jan-99,0.0,2.216132174158622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004478343587408,0.0
8,AUS,22-Jan-99,-4.522,0.24771842495550497,0.0,0.0,0.0,2.363,0.7463768115942031,-7.38617577744111,2.211,-5.439,5.515,14.101,1.4159004924905076,0.0,0.0,7.516,6.004,1.0405827263268037,0.0
9,AUT,22-Jan-99,0.0,-0.29693941937207,0.0,-4.676,-3.08,0.0,1.1539474997758958,1.7354873053337911,7.756,0.0,4.039,6.064,0.4373766859405066,0.0,0.0,0.0,0.0,0.5501524918218905,0.0
10,AZE,22-Jan-99,0.0,2.6627002906670203,0.0,0.0,0.0,-93.344,0.0,0.0,0.0,0.0,0.0,0.0,0.17176846075730623,0.0,0.0,0.0,0.0,-3.992960361197703,0.0
11,BHS,22-Jan-99,0.0,1.1924792548533198,0.0,0.0,0.0,0.0,0.0,-4.785908056979991,1.404,0.0,7.91,-8.448,0.0,0.0,0.0,0.0,0.0,1.4347975605355003,0.0
12,BHR,22-Jan-99,14.574,0.9332369669269598,0.0,0.0,0.0,0.0,0.0,-3.497819239880002,0.0,-8.475,-4.341,0.0,1.0452114384527,0.0,0.0,21.84,22.291,-0.5729364005245969,0.0
13,BGD,22-Jan-99,0.0,-0.28697504658979023,0.0,0.0,0.0,0.0,2.063884209163305,0.0,23.111,-15.203,10.778,12.372,0.0,0.0,0.0,0.0,0.0,5.877616768484899,0.0
14,BRB,22-Jan-99,0.0,0.5124846042428501,0.0,0.0,0.0,-21.826,7.784478604082992,0.0,0.0,0.0,0.0,0.0,-0.07884880741180211,0.0,0.0,0.0,0.0,1.095616061881394,0.0
15,BLR,22-Jan-99,-61.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.382,0.0,91.413,61.7,0.9929832022113914,0.0,0.0,-26.041,16.19,1.85596172099454,0.0
16,BEL,22-Jan-99,23.994,1.1263382357005598,0.0,52.36,51.788,0.0,-0.9227884627755998,2.8416364885391943,2.822,0.0,3.803,3.176,0.4243521267175083,0.0,35.6383880704487,15.582,14.327,0.45216392736669775,0.0
17,BLZ,22-Jan-99,0.0,-1.41490513907429,0.0,0.0,0.0,-122.099,0.0,-0.33601137965500527,4.905,0.0,5.3,7.607,2.6511766458148003,0.0,0.0,0.0,0.0,0.0,0.0
