,ISO,dt_00,dt_01,dt_02,dt_03,evaldt_00,evaldt_01,evaldt_02,evaldt_03
0,AFG,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
1,ALB,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
2,DZA,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
3,AGO,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
4,ATG,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
5,ARG,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
6,ARM,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
7,AZE,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
8,BHS,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
9,BHR,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
10,BGD,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
11,BLR,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
12,BEN,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
13,BTN,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
14,BOL,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
15,BIH,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
16,BWA,2,2,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
17,BRA,5,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
18,BGR,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
19,BFA,6,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
20,CPV,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
21,CMR,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
22,CAF,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
23,TCD,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
24,CHN,2,2,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
25,COL,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
26,COG,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
27,CRI,5,5,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
28,CIV,6,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
29,HRV,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
30,CUB,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
31,PRK,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
32,COD,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
33,DOM,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
34,ECU,6,6,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
35,EGY,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
36,SLV,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
37,ETH,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
38,GAB,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
39,GMB,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
40,GEO,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
41,GHA,6,6,6,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
42,GTM,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
43,GIN,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
