,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
0,BaseLine,60,,0,0.0,0.9691714644432068,0.07129094749689102
1,grades_only,60,rnn,0,0.1543644666671753,0.9691714644432068,0.020035045221447945
2,ev_ex_0_1_5_0_rnn__60,60,rnn,0,0.1471811980009079,0.9720616340637207,0.018418418243527412
3,ev_ex_0_1_5_1_rnn__60,60,rnn,0,0.09835579991340637,0.9855491518974304,0.009961455129086971
4,ev_ex_0_1_10_0_rnn__60,60,rnn,0,0.11165771633386612,0.9816955924034119,0.012558179907500744
5,ev_ex_0_1_10_1_rnn__60,60,rnn,0,0.131338968873024,0.9768785834312439,0.015396622940897942
6,ev_ex_0_2_5_0_rnn__60,60,rnn,0,0.1368447095155716,0.9749518036842346,0.01660194806754589
7,ev_ex_0_2_5_1_rnn__60,60,rnn,0,0.12415718287229538,0.978805422782898,0.014141020365059376
8,ev_ex_0_2_10_0_rnn__60,60,rnn,0,0.13135555386543274,0.9778420329093933,0.014918774366378784
9,ev_ex_0_2_10_1_rnn__60,60,rnn,0,0.1559823751449585,0.9701348543167114,0.01952279545366764
10,ev_ex_5_1_5_0_rnn__60,60,rnn,0,0.10536213964223862,0.9816955924034119,0.01231215987354517
11,ev_ex_5_1_5_1_rnn__60,60,rnn,0,0.1318717747926712,0.9759151935577393,0.015911409631371498
12,ev_ex_5_1_10_0_rnn__60,60,rnn,0,0.12943755090236664,0.9768785834312439,0.015490362420678139
13,ev_ex_5_1_10_1_rnn__60,60,rnn,0,0.1352478712797165,0.97398841381073,0.01699277013540268
14,ev_ex_5_2_5_0_rnn__60,60,rnn,0,0.15813396871089935,0.9730250239372253,0.018016474321484566
15,ev_ex_5_2_5_1_rnn__60,60,rnn,0,0.13515295088291168,0.9749518036842346,0.016504865139722824
16,ev_ex_5_2_10_0_rnn__60,60,rnn,0,0.12839582562446594,0.9778420329093933,0.014761286787688732
17,ev_ex_5_2_10_1_rnn__60,60,rnn,0,0.1066071018576622,0.9826589822769165,0.011731931008398533
18,ev_ex_10_1_5_0_rnn__60,60,rnn,0,0.1215391755104065,0.9778420329093933,0.014675728045403957
19,ev_ex_10_1_5_1_rnn__60,60,rnn,0,0.157940074801445,0.9710982441902161,0.019458428025245667
20,ev_ex_10_1_10_0_rnn__60,60,rnn,0,0.15752115845680237,0.9710982441902161,0.019097793847322464
21,ev_ex_10_1_10_1_rnn__60,60,rnn,0,0.13916827738285065,0.9730250239372253,0.01758573204278946
22,ev_ex_10_2_5_0_rnn__60,60,rnn,0,0.14150302112102509,0.9759151935577393,0.016254015266895294
23,ev_ex_10_2_5_1_rnn__60,60,rnn,0,0.15492303669452667,0.9720616340637207,0.018408695235848427
24,ev_ex_10_2_10_0_rnn__60,60,rnn,0,0.13356219232082367,0.9759151935577393,0.015844406560063362
25,ev_ex_10_2_10_1_rnn__60,60,rnn,0,0.13389982283115387,0.9759151935577393,0.015833482146263123
26,ev_ex_15_1_5_0_rnn__60,60,rnn,0,0.16054457426071167,0.9701348543167114,0.019622478634119034
27,ev_ex_15_1_5_1_rnn__60,60,rnn,0,0.15955455601215363,0.9701348543167114,0.019658822566270828
28,ev_ex_15_1_10_0_rnn__60,60,rnn,0,0.15202933549880981,0.9720616340637207,0.018475495278835297
29,ev_ex_15_1_10_1_rnn__60,60,rnn,0,0.13573957979679108,0.9749518036842346,0.016465844586491585
30,ev_ex_15_2_5_0_rnn__60,60,rnn,0,0.13541890680789948,0.9749518036842346,0.016581090167164803
31,ev_ex_15_2_5_1_rnn__60,60,rnn,0,0.15537261962890625,0.9710982441902161,0.018935704603791237
32,ev_ex_15_2_10_0_rnn__60,60,rnn,0,0.12431304901838303,0.978805422782898,0.014150061644613743
33,ev_ex_15_2_10_1_rnn__60,60,rnn,0,0.12371581047773361,0.9768785834312439,0.015187978744506836
34,ev_ex_20_1_5_0_rnn__60,60,rnn,0,0.1457502245903015,0.97398841381073,0.017130985856056213
35,ev_ex_20_1_5_1_rnn__60,60,rnn,0,0.12517976760864258,0.9778420329093933,0.01456466969102621
36,ev_ex_20_1_10_0_rnn__60,60,rnn,0,0.12623845040798187,0.9768785834312439,0.015201780013740063
37,ev_ex_20_1_10_1_rnn__60,60,rnn,0,0.13058683276176453,0.9768785834312439,0.015397013165056705
38,ev_ex_20_2_5_0_rnn__60,60,rnn,0,0.14649058878421783,0.97398841381073,0.017299192026257515
39,ev_ex_20_2_5_1_rnn__60,60,rnn,0,0.1453123688697815,0.9720616340637207,0.01808030530810356
40,ev_ex_20_2_10_0_rnn__60,60,rnn,0,0.13885053992271423,0.9749518036842346,0.01639464870095253
41,ev_ex_20_2_10_1_rnn__60,60,rnn,0,0.15769730508327484,0.9710982441902161,0.01903076469898224
42,ev_ex_30_1_5_0_rnn__60,60,rnn,0,0.148203507065773,0.9720616340637207,0.01825523190200329
43,ev_ex_30_1_5_1_rnn__60,60,rnn,0,0.13366618752479553,0.9749518036842346,0.016432711854577065
44,ev_ex_30_1_10_0_rnn__60,60,rnn,0,0.1353989988565445,0.9768785834312439,0.015511110424995422
45,ev_ex_30_1_10_1_rnn__60,60,rnn,0,0.1588364541530609,0.9691714644432068,0.020006710663437843
46,ev_ex_30_2_5_0_rnn__60,60,rnn,0,0.1521597057580948,0.9720616340637207,0.018431002274155617
47,ev_ex_30_2_5_1_rnn__60,60,rnn,0,0.13276071846485138,0.9759151935577393,0.015970181673765182
48,ev_ex_30_2_10_0_rnn__60,60,rnn,0,0.12577001750469208,0.9778420329093933,0.014842015691101551
49,ev_ex_30_2_10_1_rnn__60,60,rnn,0,0.14392989873886108,0.97398841381073,0.01724507287144661
50,ev_nm_0_1_5_0_rnn__60,60,rnn,0,0.16169166564941406,0.9691714644432068,0.02019004337489605
51,ev_nm_0_1_5_1_rnn__60,60,rnn,0,0.12201228737831116,0.9778420329093933,0.014608536846935749
52,ev_nm_0_1_10_0_rnn__60,60,rnn,0,0.1492878794670105,0.9778420329093933,0.016751078888773918
53,ev_nm_0_1_10_1_rnn__60,60,rnn,0,0.1347353607416153,0.9759151935577393,0.015881219878792763
54,ev_nm_0_2_5_0_rnn__60,60,rnn,0,0.13713695108890533,0.97398841381073,0.017008649185299873
55,ev_nm_0_2_5_1_rnn__60,60,rnn,0,0.13572902977466583,0.9749518036842346,0.01653817482292652
56,ev_nm_0_2_10_0_rnn__60,60,rnn,0,0.12595193088054657,0.978805422782898,0.014538093470036983
