,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
0,BaseLine,60,,0,0.0,0.9611650705337524,0.05963939055800438
1,grades_only,60,gru,0,0.19303300976753235,0.9611650705337524,0.02523624151945114
2,ev_nm_30_1_10_0_rnn__60,60,rnn,0,0.14876794815063477,0.9722607731819153,0.018194017931818962
3,ev_nm_30_1_10_0_lstm__60,60,lstm,0,0.14499928057193756,0.9722607731819153,0.01809730753302574
4,ev_nm_30_1_10_0_gru__60,60,gru,0,0.1449458748102188,0.9722607731819153,0.018105225637555122
5,ev_nm_30_1_10_1_rnn__60,60,rnn,0,0.15239916741847992,0.9708737730979919,0.019138501957058907
6,ev_nm_30_1_10_1_lstm__60,60,lstm,0,0.14878949522972107,0.9708737730979919,0.018954388797283173
7,ev_nm_30_1_10_1_gru__60,60,gru,0,0.14924010634422302,0.9708737730979919,0.01903434284031391
8,ev_nm_10_1_5_1_rnn__60,60,rnn,0,0.1660541594028473,0.96809983253479,0.020894140005111694
9,ev_nm_10_1_5_1_lstm__60,60,lstm,0,0.161830872297287,0.96809983253479,0.02077297493815422
10,ev_nm_10_1_5_1_gru__60,60,gru,0,0.16758301854133606,0.96809983253479,0.02089913934469223
11,ev_ex_10_2_10_1_rnn__60,60,rnn,0,0.1727839559316635,0.9667128920555115,0.021797163411974907
12,ev_ex_10_2_10_1_lstm__60,60,lstm,0,0.16659680008888245,0.9667128920555115,0.021861949935555458
13,ev_ex_10_2_10_1_gru__60,60,gru,0,0.16645430028438568,0.9667128920555115,0.02167459949851036
14,ev_ex_10_1_10_1_rnn__60,60,rnn,0,0.11823973059654236,0.9791955351829529,0.013837895356118679
15,ev_ex_10_1_10_1_lstm__60,60,lstm,0,0.11657460778951645,0.9791955351829529,0.013735655695199966
16,ev_ex_10_1_10_1_gru__60,60,gru,0,0.1177186369895935,0.9791955351829529,0.013797927647829056
17,BaseLine,60,,1,0.0,0.96809983253479,0.0776699036359787
18,grades_only,60,gru,1,0.16424062848091125,0.96809983253479,0.0207611583173275
19,ev_nm_30_2_5_1_rnn__60,60,rnn,1,0.12037774920463562,0.9778085947036743,0.014578573405742645
20,ev_nm_30_2_5_1_lstm__60,60,lstm,1,0.122738316655159,0.9778085947036743,0.014585218392312527
21,ev_nm_30_2_5_1_gru__60,60,gru,1,0.12148373574018478,0.9778085947036743,0.014551045373082161
22,ev_ex_0_1_10_0_rnn__60,60,rnn,1,0.1755106896162033,0.9653259515762329,0.022590909153223038
23,ev_ex_0_1_10_0_lstm__60,60,lstm,1,0.1764000952243805,0.9653259515762329,0.02255544438958168
24,ev_ex_0_1_10_0_gru__60,60,gru,1,0.17420846223831177,0.9653259515762329,0.022570373490452766
25,ev_ex_20_1_5_0_rnn__60,60,rnn,1,0.13886982202529907,0.9736477136611938,0.017256950959563255
26,ev_ex_20_1_5_0_lstm__60,60,lstm,1,0.13981874287128448,0.9736477136611938,0.01724509336054325
27,ev_ex_20_1_5_0_gru__60,60,gru,1,0.13963991403579712,0.9736477136611938,0.017273904755711555
28,ev_nm_10_2_10_0_rnn__60,60,rnn,1,0.18254400789737701,0.9639389514923096,0.023487083613872528
29,ev_nm_10_2_10_0_lstm__60,60,lstm,1,0.18058457970619202,0.9639389514923096,0.023415764793753624
30,ev_nm_10_2_10_0_gru__60,60,gru,1,0.17888475954532623,0.9639389514923096,0.02335808426141739
31,ev_ex_5_2_5_0_rnn__60,60,rnn,1,0.1651151031255722,0.96809983253479,0.020779592916369438
32,ev_ex_5_2_5_0_lstm__60,60,lstm,1,0.16571642458438873,0.96809983253479,0.02081274800002575
33,ev_ex_5_2_5_0_gru__60,60,gru,1,0.1671379655599594,0.96809983253479,0.02078946679830551
34,BaseLine,60,,2,0.0,0.9667128920555115,0.07073508948087692
35,grades_only,60,gru,2,0.17106589674949646,0.9667128920555115,0.02172974683344364
36,ev_ex_5_1_5_1_rnn__60,60,rnn,2,0.14562463760375977,0.9708737730979919,0.018729908391833305
37,ev_ex_5_1_5_1_lstm__60,60,lstm,2,0.1508786380290985,0.9708737730979919,0.0190082136541605
38,ev_ex_5_1_5_1_gru__60,60,gru,2,0.15923896431922913,0.9708737730979919,0.020220329985022545
39,ev_nm_20_1_10_0_rnn__60,60,rnn,2,0.12837690114974976,0.9764216542243958,0.015515458770096302
40,ev_nm_20_1_10_0_lstm__60,60,lstm,2,0.12616980075836182,0.9764216542243958,0.0153519781306386
41,ev_nm_20_1_10_0_gru__60,60,gru,2,0.12595589458942413,0.9764216542243958,0.01539915893226862
42,ev_nm_0_1_5_0_rnn__60,60,rnn,2,0.1822371780872345,0.957004189491272,0.024062303826212883
43,ev_nm_0_1_5_0_lstm__60,60,lstm,2,0.1692504584789276,0.9694868326187134,0.020591190084815025
44,ev_nm_0_1_5_0_gru__60,60,gru,2,0.16671860218048096,0.9694868326187134,0.02099544368684292
45,ev_nm_20_1_5_0_rnn__60,60,rnn,2,0.14326433837413788,0.9708737730979919,0.0188502948731184
46,ev_nm_20_1_5_0_lstm__60,60,lstm,2,0.1481897234916687,0.9708737730979919,0.018948931246995926
47,ev_nm_20_1_5_0_gru__60,60,gru,2,0.1477319300174713,0.9708737730979919,0.018926938995718956
48,ev_nm_0_2_10_1_rnn__60,60,rnn,2,0.15236249566078186,0.9708737730979919,0.01903376542031765
49,ev_nm_0_2_10_1_lstm__60,60,lstm,2,0.15014629065990448,0.9708737730979919,0.018625585362315178
50,ev_nm_0_2_10_1_gru__60,60,gru,2,0.1535578966140747,0.9708737730979919,0.01895194686949253
51,BaseLine,36,,0,0.0,0.9803076982498169,0.05292307585477829
52,grades_only,36,gru,0,0.1122041791677475,0.9803076982498169,0.012972235679626465
