,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
0,BaseLine,60,,0,0.0,0.9722607731819153,0.06934812664985657
1,grades_only,60,rnn,0,0.1464368999004364,0.9722607731819153,0.018098333850502968
2,ev_ex_10_2_10_1_rnn__60,60,rnn,0,0.15350797772407532,0.9708737730979919,0.019118182361125946
3,ev_ex_10_2_10_1_lstm__60,60,lstm,0,0.1518532633781433,0.9708737730979919,0.019000183790922165
4,ev_ex_10_2_10_1_gru__60,60,gru,0,0.1533772200345993,0.9708737730979919,0.01905883103609085
5,ev_nm_20_2_5_0_rnn__60,60,rnn,0,0.1393325924873352,0.9736477136611938,0.017364749684929848
6,ev_nm_20_2_5_0_lstm__60,60,lstm,0,0.14191490411758423,0.9750346541404724,0.01666613481938839
7,ev_nm_20_2_5_0_gru__60,60,gru,0,0.15518887341022491,0.9722607731819153,0.01953941583633423
8,ev_nm_5_1_10_0_rnn__60,60,rnn,0,0.15663564205169678,0.9694868326187134,0.019926516339182854
9,ev_nm_5_1_10_0_lstm__60,60,lstm,0,0.15604464709758759,0.9694868326187134,0.019876636564731598
10,ev_nm_5_1_10_0_gru__60,60,gru,0,0.15875110030174255,0.9694868326187134,0.02018132619559765
11,ev_ex_10_1_10_1_rnn__60,60,rnn,0,0.14966212213039398,0.9708737730979919,0.019001716747879982
12,ev_ex_10_1_10_1_lstm__60,60,lstm,0,0.1486811339855194,0.9708737730979919,0.01896635815501213
13,ev_ex_10_1_10_1_gru__60,60,gru,0,0.14737921953201294,0.9708737730979919,0.018925977870821953
14,ev_ex_5_1_10_1_rnn__60,60,rnn,0,0.1777602583169937,0.9653259515762329,0.02260858379304409
15,ev_ex_5_1_10_1_lstm__60,60,lstm,0,0.17422324419021606,0.9653259515762329,0.022548995912075043
16,ev_ex_5_1_10_1_gru__60,60,gru,0,0.17730677127838135,0.9653259515762329,0.022579291835427284
17,ev_nm_15_2_10_0_rnn__60,60,rnn,0,0.13935047388076782,0.9764216542243958,0.01616579107940197
18,ev_nm_15_2_10_0_lstm__60,60,lstm,0,0.13082660734653473,0.9764216542243958,0.015617640689015388
19,ev_nm_15_2_10_0_gru__60,60,gru,0,0.13305030763149261,0.9764216542243958,0.01569448970258236
20,ev_ex_15_2_5_0_rnn__60,60,rnn,0,0.1529691368341446,0.9694868326187134,0.019839946180582047
